time,open,high,low,close,tick_volume,spread,real_volume,rsi,macd,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,stoch_k,stoch_d,sma_20,sma_50,ema_12,ema_26,atr,adx,target,signal,returns,equity
2026-02-18 12:30:00,4921.22,4921.22,4909.25,4911.95,3146,30,0,20.871103250054603,0.2757065593414154,2.924146626664245,-2.6484400673228294,4925.7545,4940.98158594283,4910.52741405717,8.44013754298167,20.689263278643836,4925.7545,4909.903399999999,4920.761716243267,4920.486009683926,7.444999999999839,,1,0,-0.0,9985.426923270768
2026-02-18 12:45:00,4911.98,4916.57,4910.23,4914.34,1216,30,0,23.88345384942656,-0.2569898091896903,2.287919339493458,-2.544909148683148,4924.8099999999995,4940.423225163127,4909.196774836872,16.340288924559246,18.01373558500521,4924.8099999999995,4910.5838,4919.773759898149,4920.030749707339,7.264285714285571,,1,-1,0.0,9985.426923270768
2026-02-18 13:00:00,4914.35,4916.23,4912.3,4915.55,1626,30,0,28.7630057803474,-0.5748916385618941,1.7153571438823874,-2.2902487824442814,4924.2545,4940.372971228108,4908.136028771892,24.08256880734028,16.287665091627073,4924.2545,4911.3078000000005,4919.123950683049,4919.698842321611,7.069285714285537,,0,-1,-0.000246218210380178,9982.964741166967
2026-02-18 13:15:00,4915.58,4917.44,4914.48,4915.22,1657,30,0,31.2719959778791,-0.843733338056154,1.203539047494679,-2.047272385550833,4923.499,4939.833459409635,4907.164540590365,26.035761011775747,22.15287291455843,4923.499,4912.0698,4918.523342885657,4919.367076223713,6.82357142857128,,0,-1,6.713389142620763e-05,9983.636080081229
2026-02-18 13:30:00,4915.24,4916.32,4910.76,4911.19,1409,30,0,28.950430532930355,-1.3662305859443222,0.6895851208068786,-2.0558157067512006,4922.5135,4939.338804595499,4905.688195404501,9.70970970970792,19.94267984294132,4922.5135,4912.644399999999,4917.395136287864,4918.761366873809,6.830714285714099,,1,-1,0.0008199022627676245,9991.835102708905
2026-02-18 13:45:00,4911.18,4915.91,4906.27,4912.89,1987,30,0,34.31206017956953,-1.6244124116592502,0.22678561431365277,-1.851198025972903,4921.6275000000005,4938.523716798436,4904.731283201565,32.1984435797668,22.64797143375016,4921.6275000000005,4913.3542,4916.702038397423,4918.326450809082,7.0435714285712105,,1,-1,-0.0003461482858535536,9988.373619850368
2026-02-18 14:00:00,4912.89,4926.02,4911.95,4921.68,3348,30,0,50.64045936395748,-1.1069832162875173,-0.03996815180658132,-1.067015064480936,4920.7965,4935.7649542321415,4905.828045767859,78.02531645569547,39.977823248390074,4920.7965,4914.2648,4917.467878643974,4918.574861860261,7.51071428571413,,0,0,-0.0017891709360478014,9970.48191048989
2026-02-18 14:15:00,4921.71,4929.28,4921.0,4921.02,2924,30,0,54.73860109811417,-0.7416243513525842,-0.18029939171578196,-0.5613249596368022,4919.9025,4932.219266279076,4907.5857337209245,64.10256410256603,58.10877471267611,4919.9025,4915.506,4918.0143588525925,4918.755983203945,7.670714285714114,,1,0,-0.0,9970.48191048989
2026-02-18 14:30:00,4921.0,4931.0,4917.77,4929.0,2773,30,0,62.52022653721658,0.1896582277440757,-0.10630786782381042,0.2959660955678861,4919.656499999999,4930.948340136958,4908.36465986304,91.91265669227644,78.01351241684598,4919.656499999999,4916.8056,4919.704457490656,4919.514799262912,8.076428571428355,,1,1,0.0,9970.48191048989
2026-02-18 14:45:00,4929.01,4947.0,4928.16,4942.9,2817,30,0,68.45957446808448,2.0259661375457654,0.32014693325010485,1.7058192042956606,4920.2955,4935.008622642362,4905.5823773576385,89.933709796218,81.98297686368683,4920.2955,4918.2608,4923.273002492094,4921.247036354548,8.70928571428554,,1,1,0.002820044633799812,9998.682356827889
